"Gender","Clinical.Y.N","Feedback"
"F","Y","I’ve been experiencing insomnia that comes and goes. It’s been going on for a few weeks."
"M","N","I can't log in, even when I use a different device"
"F","N","I submitted a request for a fit note but haven't received any confirmation or follow-up. I need it urgently for work. Might be worth checking if others are experiencing the same."
"M","Y","Fit note requested last week, no updates since – need it for work ASAP."
"M","N","I’ve moved house and updated my address online, but it still shows my old one when I try to book an appointment. I’ve talked to friends and they’ve had similar issues."
"M","N","I my address is still wrong, though I contacted support last week"
"F","N","The address linked to my account is years out of date – no idea how to fix.  No idea what’s causing it."
"F","Y","I’ve been experiencing insomnia that is affecting my daily life."
"M","Y","Headaches becoming more frequent – lasting hours, mostly around my temples.  No idea what’s causing it."
"F","N","I keep trying to log in but the NHS app crashes every time I open it. I've updated to the latest version and restarted my phone, but no luck. Not sure what to do next."
"M","Y","I’ve been experiencing insomnia that is dull but persistent. Never had anything like this before."
"F","N","I prescription order disappeared,"
"F","N","I can’t update my contact details, even after resetting my password"
"F","Y","Shoulder pain radiating down my arm. Started last week, worse in the morning.  No idea what’s causing it."
"M","N","Why does the site log me out every few minutes? It’s incredibly frustrating when I’m in the middle of filling in details. I’m hoping this can be resolved soon."
"M","Y","Chronic fatigue setting in; I feel wiped out even after minor tasks.  Hoping to get this sorted soon."
"F","N","I app logs me out randomly, and it’s becoming really frustrating"
"F","N","I I keep getting an error message, even when I use a different device"
"F","N","I profile won’t save changes, even when I use a different device"
"F","N","The app doesn’t seem to support landscape mode, which is a problem when I’m using my tablet with a keyboard attached. Might be worth checking if others are experiencing the same."
"M","N","Changed my phone number at the GP surgery two weeks ago but it's still showing the old one in my account. It’s really starting to affect my day-to-day."
"M","Y","I feel exhausted all the time, even after a full night's sleep. I’ve also had some unexplained weight loss and headaches."
"M","N","Support form just reloads the page after I click submit. Really frustrating.  Wondering if this is common?"
"M","Y","Chronic fatigue setting in; I feel wiped out even after minor tasks.  No idea what’s causing it."
"M","N","I prescription order disappeared, and it’s becoming really frustrating"
"F","Y","Chronic fatigue setting in; I feel wiped out even after minor tasks.  It’s affecting my routine badly."
"F","Y","I’ve been experiencing insomnia that has been constant. Wondering if I should see someone about it."
"F","Y","I’ve been experiencing insomnia that started recently. Wondering if I should see someone about it."
"F","Y","I’ve been experiencing insomnia that is affecting my daily life. Not sure what’s causing it."
